epoch=1 gen_loss=88.2472 critic_loss=-84.4851 gp=4.2612
epoch=2 gen_loss=23.9907 critic_loss=-46.0823 gp=1.8761
epoch=3 gen_loss=10.2592 critic_loss=-21.5736 gp=0.6046
epoch=4 gen_loss=4.1860 critic_loss=-15.4538 gp=0.3534
epoch=5 gen_loss=2.3059 critic_loss=-14.6706 gp=0.3375
epoch=6 gen_loss=1.1477 critic_loss=-15.0497 gp=0.3432
epoch=7 gen_loss=0.8344 critic_loss=-15.1284 gp=0.3544
epoch=8 gen_loss=0.7660 critic_loss=-14.5697 gp=0.3391
epoch=9 gen_loss=1.1394 critic_loss=-14.3333 gp=0.3324
epoch=10 gen_loss=1.3869 critic_loss=-14.5721 gp=0.3344
epoch=11 gen_loss=1.2629 critic_loss=-14.2613 gp=0.3342
epoch=12 gen_loss=1.0048 critic_loss=-13.9861 gp=0.3200
epoch=13 gen_loss=1.5913 critic_loss=-13.5068 gp=0.3004
epoch=14 gen_loss=1.0936 critic_loss=-13.3477 gp=0.2980
epoch=15 gen_loss=1.3709 critic_loss=-13.0873 gp=0.2925
epoch=16 gen_loss=0.7640 critic_loss=-12.3358 gp=0.2683
epoch=17 gen_loss=1.2135 critic_loss=-11.7545 gp=0.2444
epoch=18 gen_loss=0.9803 critic_loss=-11.5379 gp=0.2352
epoch=19 gen_loss=1.1593 critic_loss=-11.4192 gp=0.2377
epoch=20 gen_loss=1.0053 critic_loss=-11.0988 gp=0.2251
epoch=21 gen_loss=1.2390 critic_loss=-11.1732 gp=0.2242
epoch=22 gen_loss=1.2440 critic_loss=-11.0280 gp=0.2209
epoch=23 gen_loss=0.9580 critic_loss=-10.8511 gp=0.2164
epoch=24 gen_loss=1.0830 critic_loss=-10.9043 gp=0.2218
epoch=25 gen_loss=1.3833 critic_loss=-10.8862 gp=0.2151
epoch=26 gen_loss=0.7866 critic_loss=-10.8677 gp=0.2173
epoch=27 gen_loss=1.3690 critic_loss=-10.7396 gp=0.2114
epoch=28 gen_loss=0.8659 critic_loss=-11.1255 gp=0.2238
epoch=29 gen_loss=1.2479 critic_loss=-10.9680 gp=0.2225
epoch=30 gen_loss=0.9795 critic_loss=-11.1770 gp=0.2234
epoch=31 gen_loss=1.0817 critic_loss=-11.0826 gp=0.2235
epoch=32 gen_loss=1.1822 critic_loss=-11.1013 gp=0.2275
epoch=33 gen_loss=0.9358 critic_loss=-11.2197 gp=0.2297
epoch=34 gen_loss=0.9012 critic_loss=-11.1029 gp=0.2241
epoch=35 gen_loss=1.2452 critic_loss=-11.2545 gp=0.2326
